timestamp,temperature_c,humidity_pct,pressure_hpa,air_quality_index,co2_ppm,voc_ppb
2026-07-26T11:15:00Z,24.8,41.2,1013.5,49,420,40
2026-07-26T11:17:00Z,24.7,41.3,1013.8,48,421,42
2026-07-26T11:19:00Z,24.6,41.5,1013.9,48,421,41
2026-07-26T11:21:00Z,24.6,41.7,1014.1,47,423,43
2026-07-26T11:23:00Z,24.5,41.9,1014.2,47,424,44
2026-07-26T11:25:00Z,24.5,42.0,1014.3,46,425,45
2026-07-26T11:27:00Z,24.4,42.2,1014.4,46,425,46
2026-07-26T11:29:00Z,24.4,42.3,1014.6,45,427,47
2026-07-26T11:31:00Z,24.3,42.5,1014.7,45,428,48
2026-07-26T11:33:00Z,24.3,42.6,1014.8,44,429,49
